RowNo,"P1_rph","P2_unique_dns_req","P3_domain_rph","P4_avg_rpm","P5_high_req","P6_mx","P7_ptr","P8_dnsserver","P9_TDL","P10_SDL","P11_unique_ratio","P12_nx","P13_flow_ratio","P14_dnsrph","P15_len","P16_IRC_ratio","P17_domain_length","P18_SMB_ratio","P19_TLS_ratio","P20_SSH_ratio","P21_MQTT_ratio","P22_TFTP_ratio","P23_NBNS_ratio","P24_TCP_ratio","P25_DCERPC_ratio","P26_ICMP_ratio","P27_DHCP_ratio","P28_UNIQUEDST_count","P29_DST_count",ReqTime,"ip_src"
16,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,"502.26189078097474",0,0,0,0,0,0,0,0,1,0,0,0,1,1703,1276570800,"109.185.248.141"
17,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,"86.23261117445838",0,0,0,0,"0.3998479665526416",0,0,0,"0.6001520334473585",0,0,0,1,2631,1313384400,"109.74.55.27"
18,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,"1386.5494402985075",0,0,0,0,0,0,0,0,1,0,0,0,1,1072,1276570800,"109.86.25.208"
19,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.92022116903634",0,0,0,0,0,0,0,0,0,0,0,0,1,1266,1313744400,"110.159.22.70"
20,126,0,0,0,0,0,0,0,0,0,0,0,0,0,"82.9920634920635",0,0,0,0,0,0,0,0,0,0,0,0,1,126,1313744400,"110.159.67.241"
21,154,0,0,0,0,0,0,0,0,0,0,0,0,0,"83.16883116883118",0,0,0,0,0,0,0,0,0,0,0,0,2,154,1313744400,"110.186.141.55"
22,114,0,0,0,0,0,0,0,0,0,0,0,0,0,"132.80701754385964",0,0,0,0,0,0,0,0,0,0,0,0,2,114,1313744400,"110.49.227.41"
23,133,0,0,0,0,0,0,0,0,0,0,0,0,0,"85.98496240601504",0,0,0,0,0,0,0,0,0,0,0,0,1,133,1313740800,"110.53.21.137"
24,114,0,0,0,0,0,0,0,0,0,0,0,0,0,"1049.859649122807",0,0,0,0,0,0,0,0,0,0,0,0,1,114,1313740800,"111.121.4.67"
25,367,0,0,0,0,0,0,0,0,0,0,0,0,0,"82.59128065395096",0,0,0,0,0,0,0,0,0,0,0,0,3,367,1313744400,"111.160.67.106"
26,146,0,0,0,0,0,0,0,0,0,0,0,0,0,"81.56849315068493",0,0,0,0,0,0,0,0,0,0,0,0,1,146,1313740800,"112.23.30.5"
27,201,0,0,0,0,0,0,0,0,0,0,0,0,0,"1069.6517412935323",0,0,0,0,0,0,0,0,0,0,0,0,1,201,1313740800,"112.239.150.194"
28,314,0,0,0,0,0,0,0,0,0,0,0,0,0,"1293.3248407643312",0,0,0,0,0,0,0,0,"0.9968152866242038",0,0,0,1,314,1348020000,"112.78.2.145"
29,102,0,0,0,0,0,0,0,0,0,0,0,0,0,"583.6078431372549",0,0,0,0,0,0,0,0,0,0,0,0,1,102,1313496000,"112.90.86.181"
30,195,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,1,195,1313499600,"112.90.86.181"
31,128,0,0,0,0,0,0,0,0,0,0,0,0,0,"609.9375",0,0,0,0,0,0,0,0,0,0,0,0,1,128,1313499600,"112.90.86.182"
32,113,0,0,0,0,0,0,0,0,0,0,0,0,0,"616.8141592920354",0,0,0,0,0,0,0,0,0,0,0,0,1,113,1313499600,"112.90.86.184"
33,149,0,0,0,0,0,0,0,0,0,0,0,0,0,"82.14765100671141",0,0,0,0,0,0,0,0,0,0,0,0,1,149,1313744400,"112.95.112.218"
34,126,0,0,0,0,0,0,0,0,0,0,0,0,0,"2693.5079365079364",0,0,0,0,0,0,0,0,"0.8809523809523809",0,0,0,2,126,1313740800,"113.107.89.175"
35,335,0,0,0,0,0,0,0,0,0,0,0,0,0,"136.52537313432836",0,0,0,0,0,0,0,0,0,0,0,0,3,335,1313744400,"113.249.211.151"
36,303,0,0,0,0,0,0,0,0,0,0,0,0,0,"1245.5610561056105",0,0,0,0,0,0,0,0,"0.9207920792079208",0,0,0,1,303,1276329600,"113.32.19.131"
37,213,0,0,0,0,0,0,0,0,0,0,0,0,0,"861.6525821596244",0,0,0,0,0,0,0,0,"0.8779342723004695",0,0,0,1,213,1276333200,"113.32.19.131"
38,249,0,0,0,0,0,0,0,0,0,0,0,0,0,"1076.1847389558234",0,0,0,0,0,0,0,0,0,0,0,0,1,249,1313740800,"113.59.117.21"
39,346,0,0,0,0,0,0,0,0,0,0,0,0,0,"1075.6647398843932",0,0,0,0,0,0,0,0,0,0,0,0,1,346,1313740800,"114.243.126.105"
40,113,0,0,0,0,0,0,0,0,0,0,0,0,0,"88.53982300884955",0,0,0,0,0,0,0,0,0,0,0,0,3,113,1313744400,"114.249.222.15"
41,127,0,0,0,0,0,0,0,0,0,0,0,0,0,"408.7007874015748",0,0,0,0,0,0,0,0,"0.05511811023622047",0,0,0,1,127,1276354800,"114.31.91.139"
42,178,0,0,0,0,0,0,0,0,0,0,0,0,0,"1067.7977528089887",0,0,0,0,0,0,0,0,0,0,0,0,1,178,1313740800,"114.44.67.92"
43,273,0,0,0,0,0,0,0,0,0,0,0,0,0,"81.02564102564102",0,0,0,0,0,0,0,0,0,0,0,0,3,273,1313744400,"114.94.233.187"
44,119,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.38655462184875",0,0,0,0,0,0,0,0,0,0,0,0,1,119,1313744400,"115.132.62.124"
45,121,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.3305785123967",0,0,0,0,0,0,0,0,0,0,0,0,1,121,1313744400,"115.133.36.97"
46,133,0,0,0,0,0,0,0,0,0,0,0,0,0,"83.33834586466165",0,0,0,0,0,0,0,0,0,0,0,0,1,133,1313744400,"115.134.97.200"
47,251,0,0,0,0,0,0,0,0,0,0,0,0,0,"1155.5099601593627",0,0,0,0,0,0,0,0,"0.9402390438247012",0,0,0,2,251,1276329600,"115.178.18.2"
48,199,0,0,0,0,0,0,0,0,0,0,0,0,0,"1077.9447236180904",0,0,0,0,0,0,0,0,"0.9547738693467337",0,0,0,2,199,1276333200,"115.178.18.2"
49,107,0,0,0,0,0,0,0,0,0,0,0,0,0,"1296.252336448598",0,0,0,0,0,0,0,0,"0.9439252336448598",0,0,0,1,107,1276336800,"115.178.18.2"
50,128,0,0,0,0,0,0,0,0,0,0,0,0,0,"1301.7890625",0,0,0,0,0,0,0,0,"0.953125",0,0,0,1,128,1276365600,"115.178.18.2"
51,181,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.48618784530387",0,0,0,0,0,0,0,0,0,0,0,0,1,181,1313744400,"115.211.71.72"
52,162,0,0,0,0,0,0,0,0,0,0,0,0,0,"95.30864197530865",0,0,0,0,"0.5617283950617284",0,0,0,"0.4382716049382716",0,0,0,1,162,1350028800,"115.238.228.102"
53,181,0,0,0,0,0,0,0,0,0,0,0,0,0,"3197.6629834254145",0,0,0,0,0,0,0,0,"0.994475138121547",0,0,0,1,181,1313434800,"115.239.230.39"
54,448,0,0,0,0,0,0,0,0,0,0,0,0,0,"794.6540178571429",0,0,0,0,0,0,0,0,"0.6607142857142857",0,0,0,2,448,1276333200,"115.85.145.2"
55,393,0,0,0,0,0,0,0,0,0,0,0,0,0,"1359.4605597964376",0,0,0,0,0,0,0,0,"0.9643765903307888",0,0,0,2,393,1276333200,"115.85.145.5"
56,346,0,0,0,0,0,0,0,0,0,0,0,0,0,"85.69653179190752",0,0,0,0,0,0,0,0,0,0,0,0,3,346,1313744400,"116.115.150.149"
57,130,0,0,0,0,0,0,0,0,0,0,0,0,0,"82.72307692307692",0,0,0,0,0,0,0,0,0,0,0,0,1,130,1313744400,"116.197.1.51"
58,162,0,0,0,0,0,0,0,0,0,0,0,0,0,"1047.962962962963",0,0,0,0,0,0,0,0,0,0,0,0,3,162,1313740800,"116.236.217.138"
59,444,0,0,0,0,0,0,0,0,0,0,0,0,0,"86.52252252252252",0,0,0,0,0,0,0,0,"0.9864864864864865",0,0,0,1,444,1350111600,"117.212.9.253"
60,4853,0,0,0,0,0,0,0,0,0,0,0,0,0,"1471.5178240263754",0,0,0,0,0,0,0,0,"0.9847516999793942",0,0,0,1,4853,1276344000,"117.53.171.125"
61,104,0,0,0,0,0,0,0,0,0,0,0,0,0,"1065.2884615384614",0,0,0,0,0,0,0,0,0,0,0,0,1,104,1313740800,"117.57.65.37"
62,171,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1,171,1313744400,"118.101.140.124"
63,209,0,0,0,0,0,0,0,0,0,0,0,0,0,"86.43062200956938",0,0,0,0,0,0,0,0,0,0,0,0,1,209,1313744400,"118.101.240.24"
64,114,0,0,0,0,0,0,0,0,0,0,0,0,0,"1124.4649122807018",0,0,0,0,0,0,0,0,"0.8245614035087719",0,0,0,1,114,1276358400,"118.155.220.112"
65,116,0,0,0,0,0,0,0,0,0,0,0,0,0,"1067.2241379310344",0,0,0,0,0,0,0,0,0,0,0,0,1,116,1313740800,"118.167.115.137"
66,243,0,0,0,0,0,0,0,0,0,0,0,0,0,"1072.1316872427983",0,0,0,0,0,0,0,0,0,0,0,0,1,243,1313740800,"118.74.6.4"
67,150,0,0,0,0,0,0,0,0,0,0,0,0,0,"640.7466666666667",0,0,0,0,0,0,0,0,0,0,0,0,1,150,1313496000,"119.147.45.253"
68,130,0,0,0,0,0,0,0,0,0,0,0,0,0,"1876.2769230769231",0,0,0,0,0,0,0,0,"0.5",0,0,0,3,130,1313740800,"119.167.201.242"
69,127,0,0,0,0,0,0,0,0,0,0,0,0,0,"1527.8976377952756",0,0,0,0,0,0,0,0,"0.7637795275590551",0,0,0,3,127,1313740800,"119.167.201.251"
70,110,0,0,0,0,0,0,0,0,0,0,0,0,0,"1024.9636363636364",0,0,0,0,0,0,0,0,"0.509090909090909",0,0,0,1,110,1276358400,"119.18.220.211"
71,282,0,0,0,0,0,0,0,0,0,0,0,0,0,"1073.77304964539",0,0,0,0,0,0,0,0,0,0,0,0,1,282,1313740800,"119.62.211.62"
72,172,0,0,0,0,0,0,0,0,0,0,0,0,0,"1338.6453488372092",0,0,0,0,0,0,0,0,"0.8255813953488372",0,0,0,1,172,1276311600,"119.75.238.14"
73,104,0,0,0,0,0,0,0,0,0,0,0,0,0,"1260.7596153846155",0,0,0,0,0,0,0,0,"0.9134615384615384",0,0,0,1,104,1276315200,"12.129.19.128"
74,262,0,0,0,0,0,0,0,0,0,0,0,0,0,"1234.3740458015268",0,0,0,"0.04961832061068702",0,0,0,0,"0.8587786259541985",0,0,0,1,262,1276318800,"12.129.19.128"
75,243,0,0,0,0,0,0,0,0,0,0,0,0,0,"1284.6625514403293",0,0,0,0,0,0,0,0,"0.9094650205761317",0,0,0,1,243,1276322400,"12.129.19.128"
76,204,0,0,0,0,0,0,0,0,0,0,0,0,0,"1263.8186274509803",0,0,0,"0.024509803921568627",0,0,0,0,"0.8137254901960784",0,0,0,1,204,1276326000,"12.129.19.128"
77,386,0,0,0,0,0,0,0,0,0,0,0,0,0,"1251.0777202072538",0,0,0,"0.03626943005181347",0,0,0,0,"0.8704663212435233",0,0,0,1,386,1276336800,"12.129.19.128"
78,404,0,0,0,0,0,0,0,0,0,0,0,0,0,"1270.7153465346535",0,0,0,"0.03712871287128713",0,0,0,0,"0.8787128712871287",0,0,0,1,404,1276340400,"12.129.19.128"
79,240,0,0,0,0,0,0,0,0,0,0,0,0,0,"1336.1416666666667",0,0,0,0,0,0,0,0,"0.9166666666666666",0,0,0,1,240,1276347600,"12.129.19.128"
80,200,0,0,0,0,0,0,0,0,0,0,0,0,0,"1291.425",0,0,0,0,0,0,0,0,"0.915",0,0,0,1,200,1276351200,"12.129.19.128"
81,349,0,0,0,0,0,0,0,0,0,0,0,0,0,"1257.1862464183382",0,0,0,"0.04297994269340974",0,0,0,0,"0.8681948424068768",0,0,0,1,349,1276354800,"12.129.19.128"
82,144,0,0,0,0,0,0,0,0,0,0,0,0,0,"1291.7708333333333",0,0,0,0,0,0,0,0,"0.8888888888888888",0,0,0,1,144,1276358400,"12.129.19.128"
83,249,0,0,0,0,0,0,0,0,0,0,0,0,0,"1281.1887550200804",0,0,0,"0.028112449799196786",0,0,0,0,"0.8795180722891566",0,0,0,1,249,1276362000,"12.129.19.128"
84,526,0,0,0,0,0,0,0,0,0,0,0,0,0,"1282.6920152091254",0,0,0,"0.026615969581749048",0,0,0,0,"0.8688212927756654",0,0,0,1,526,1276365600,"12.129.19.128"
85,271,0,0,0,0,0,0,0,0,0,0,0,0,0,"1045.8044280442805",0,0,0,0,0,0,0,0,"0.6605166051660517",0,0,0,1,271,1276318800,"12.129.19.135"
86,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,"1066.443469785575",0,0,0,0,0,0,0,0,"0.6686159844054581",0,0,0,1,1026,1276322400,"12.129.19.135"
87,668,0,0,0,0,0,0,0,0,0,0,0,0,0,"981.7365269461078",0,0,0,0,0,0,0,0,"0.6182634730538922",0,0,0,1,668,1276326000,"12.129.19.135"
88,470,0,0,0,0,0,0,0,0,0,0,0,0,0,"850.6212765957447",0,0,0,0,0,0,0,0,"0.5276595744680851",0,0,0,1,470,1276329600,"12.129.19.135"
89,762,0,0,0,0,0,0,0,0,0,0,0,0,0,"879.0971128608924",0,0,0,0,0,0,0,0,"0.520997375328084",0,0,0,1,762,1276333200,"12.129.19.135"
90,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,"958.5547765118317",0,0,0,0,0,0,0,0,"0.5714285714285714",0,0,0,1,1141,1276336800,"12.129.19.135"
91,1293,0,0,0,0,0,0,0,0,0,0,0,0,0,"913.9389017788089",0,0,0,0,0,0,0,0,"0.5460170146945089",0,0,0,1,1293,1276340400,"12.129.19.135"
92,1588,0,0,0,0,0,0,0,0,0,0,0,0,0,"927.5573047858942",0,0,0,0,0,0,0,0,"0.5415617128463476",0,0,0,1,1588,1276344000,"12.129.19.135"
93,767,0,0,0,0,0,0,0,0,0,0,0,0,0,"848.3846153846154",0,0,0,0,0,0,0,0,"0.4941329856584094",0,0,0,1,767,1276347600,"12.129.19.135"
94,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,"941.3544929925804",0,0,0,0,0,0,0,0,"0.5630667765869745",0,0,0,1,1213,1276351200,"12.129.19.135"
95,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,"911.3639344262295",0,0,0,0,0,0,0,0,"0.5383606557377049",0,0,0,1,1525,1276354800,"12.129.19.135"
96,2258,0,0,0,0,0,0,0,0,0,0,0,0,0,"1036.1767050487156",0,0,0,0,0,0,0,0,"0.6364038972542073",0,0,0,1,2258,1276358400,"12.129.19.135"
97,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,"1004.8154589371981",0,0,0,0,0,0,0,0,"0.6154589371980677",0,0,0,1,1035,1276362000,"12.129.19.135"
98,291,0,0,0,0,0,0,0,0,0,0,0,0,0,"800.7560137457044",0,0,0,0,0,0,0,0,"0.4639175257731959",0,0,0,1,291,1276365600,"12.129.19.135"
99,127,0,0,0,0,0,0,0,0,0,0,0,0,0,"844.3700787401575",0,0,0,0,0,0,0,0,"0.4645669291338583",0,0,0,1,127,1276369200,"12.129.19.135"
100,229,0,0,0,0,0,0,0,0,0,0,0,0,0,"1047.9126637554584",0,0,0,0,0,0,0,0,"0.6724890829694323",0,0,0,1,229,1276351200,"12.129.19.151"
101,158,0,0,0,0,0,0,0,0,0,0,0,0,0,"1335.012658227848",0,0,0,0,0,0,0,0,"0.9493670886075949",0,0,0,1,158,1276311600,"12.129.19.153"
102,108,0,0,0,0,0,0,0,0,0,0,0,0,0,"1323.787037037037",0,0,0,0,0,0,0,0,"0.9444444444444444",0,0,0,1,108,1276362000,"12.129.19.153"
103,188,0,0,0,0,0,0,0,0,0,0,0,0,0,"1145.8297872340424",0,0,0,0,0,0,0,0,"0.8457446808510638",0,0,0,1,188,1276333200,"12.130.60.3"
104,3561,0,0,0,0,0,0,0,0,0,0,0,0,0,"1295.6832350463353",0,0,0,0,0,0,0,0,"0.953664700926706",0,0,0,2,3561,1276311600,"12.180.55.140"
105,573,0,0,0,0,0,0,0,0,0,0,0,0,0,"1225.5759162303666",0,0,0,0,0,0,0,0,"0.9179755671902269",0,0,0,1,573,1276315200,"12.180.55.140"
106,235,0,0,0,0,0,0,0,0,0,0,0,0,0,"1141.4851063829788",0,0,0,0,0,0,0,0,"0.9063829787234042",0,0,0,1,235,1276318800,"12.180.55.140"
107,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,0,0,0,0,0,"0.8306878306878307",0,0,0,1,2457,1276329600,"12.180.55.140"
108,265,0,0,0,0,0,0,0,0,0,0,0,0,0,"1283.5509433962263",0,0,0,0,0,0,0,0,"0.9471698113207547",0,0,0,1,265,1276333200,"12.180.55.140"
109,212,0,0,0,0,0,0,0,0,0,0,0,0,0,"84.16509433962264",0,0,0,0,0,0,0,0,0,0,0,0,1,212,1313744400,"120.140.236.249"
110,145,0,0,0,0,0,0,0,0,0,0,0,0,0,"80.93103448275862",0,0,0,0,0,0,0,0,0,0,0,0,2,145,1313744400,"120.69.3.185"
111,3950,0,0,0,0,0,0,0,0,0,0,0,0,0,"1462.0283544303797",0,0,0,0,0,0,0,0,"0.6845569620253165",0,0,0,1,3950,1191852000,"121.110.61.50"
112,104,0,0,0,0,0,0,0,0,0,0,0,0,0,"1359.125",0,0,0,0,0,0,0,0,"0.9134615384615384",0,0,0,1,104,1276358400,"121.111.244.250"
113,290,0,0,0,0,0,0,0,0,0,0,0,0,0,"1336.7586206896551",0,0,0,0,0,0,0,0,"0.7344827586206897",0,0,0,1,290,1276362000,"121.111.244.250"
114,495,0,0,0,0,0,0,0,0,0,0,0,0,0,"1258.6848484848485",0,0,0,0,0,0,0,0,1,0,0,0,1,495,1191848400,"121.128.133.12"
115,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,"1411.9953853253346",0,0,0,0,0,0,0,0,1,0,0,0,1,2167,1191848400,"121.128.134.13"
116,105,0,0,0,0,0,0,0,0,0,0,0,0,0,"2539.247619047619",0,0,0,0,0,0,0,0,"0.7047619047619048",0,0,0,1,105,1313740800,"121.14.63.240"
117,119,0,0,0,0,0,0,0,0,0,0,0,0,0,"86.4453781512605",0,0,0,0,0,0,0,0,0,0,0,0,2,119,1313740800,"121.19.108.88"
118,198,0,0,0,0,0,0,0,0,0,0,0,0,0,"1298.7474747474748",0,0,0,0,0,0,0,0,"0.8434343434343434",0,0,0,1,198,1276318800,"121.190.174.236"
119,289,0,0,0,0,0,0,0,0,0,0,0,0,0,"1458.1453287197232",0,0,0,0,0,0,0,0,"0.9792387543252595",0,0,0,1,289,1276340400,"121.190.174.236"
120,427,0,0,0,0,0,0,0,0,0,0,0,0,0,"1390.718969555035",0,0,0,0,0,0,0,0,"0.9250585480093677",0,0,0,1,427,1276358400,"121.190.174.236"
121,125,0,0,0,0,0,0,0,0,0,0,0,0,0,"2481.24",0,0,0,0,0,0,0,0,"0.824",0,0,0,2,125,1313740800,"121.207.229.250"
122,381,0,0,0,0,0,0,0,0,0,0,0,0,0,"86.45406824146981",0,0,0,0,0,0,0,0,"0.9921259842519685",0,0,0,1,381,1350100800,"121.54.2.84"
123,3966,0,0,0,0,0,0,0,0,0,0,0,0,0,"394.2566817952597",0,0,0,0,0,0,0,0,0,0,0,0,1,3966,1276570800,"121.7.137.217"
124,383,0,0,0,0,0,0,0,0,0,0,0,0,0,"95.77284595300262",0,0,0,0,0,0,0,0,"0.9608355091383812",0,0,0,1,383,1350108000,"121.96.61.130"
125,124,0,0,0,0,0,0,0,0,0,0,0,0,0,"1051.5",0,0,0,0,0,0,0,0,"0.7741935483870968",0,0,0,1,124,1276358400,"122.1.85.14"
126,405,0,0,0,0,0,0,0,0,0,0,0,0,0,"1200.0617283950617",0,0,0,0,0,0,0,0,"0.9209876543209876",0,0,0,1,405,1276354800,"122.1.85.15"
127,157,0,0,0,0,0,0,0,0,0,0,0,0,0,"1186.1656050955414",0,0,0,0,0,0,0,0,"0.8853503184713376",0,0,0,1,157,1276351200,"122.1.85.16"
128,418,0,0,0,0,0,0,0,0,0,0,0,0,0,"82.65789473684211",0,0,0,0,0,0,0,0,0,0,0,0,3,418,1313744400,"122.140.51.217"
129,141,0,0,0,0,0,0,0,0,0,0,0,0,0,"1057.127659574468",0,0,0,0,0,0,0,0,0,0,0,0,1,141,1313740800,"122.193.125.137"
130,326,0,0,0,0,0,0,0,0,0,0,0,0,0,"84.23312883435582",0,0,0,0,0,0,0,0,0,0,0,0,2,326,1313744400,"122.195.167.123"
131,123,0,0,0,0,0,0,0,0,0,0,0,0,0,"1122.7479674796748",0,0,0,0,0,0,0,0,"0.943089430894309",0,0,0,2,123,1276340400,"122.215.192.22"
132,193,0,0,0,0,0,0,0,0,0,0,0,0,0,"1004.4300518134716",0,0,0,0,0,0,0,0,"0.9222797927461139",0,0,0,1,193,1276344000,"122.215.192.22"
133,104,0,0,0,0,0,0,0,0,0,0,0,0,0,"1034.7692307692307",0,0,0,0,0,0,0,0,"0.9326923076923077",0,0,0,2,104,1276347600,"122.215.192.22"
134,363,0,0,0,0,0,0,0,0,0,0,0,0,0,"1089.3719008264463",0,0,0,0,0,0,0,0,"0.9366391184573003",0,0,0,1,363,1276358400,"122.215.192.22"
135,113,0,0,0,0,0,0,0,0,0,0,0,0,0,"2319.5575221238937",0,0,0,0,0,0,0,0,"0.9823008849557522",0,0,0,1,113,1312966800,"122.224.6.164"
136,117,0,0,0,0,0,0,0,0,0,0,0,0,0,"2241.6239316239316",0,0,0,0,0,0,0,0,"0.9829059829059829",0,0,0,1,117,1313049600,"122.224.6.164"
137,157,0,0,0,0,0,0,0,0,0,0,0,0,0,"3652.4649681528663",0,0,0,0,0,0,0,0,"0.9936305732484076",0,0,0,1,157,1313434800,"122.228.199.134"
138,198,0,0,0,0,0,0,0,0,0,0,0,0,0,"81.8080808080808",0,0,0,0,0,0,0,0,0,0,0,0,3,198,1313744400,"122.238.250.84"
139,234,0,0,0,0,0,0,0,0,0,0,0,0,0,"88.9957264957265",0,0,0,0,0,0,0,0,0,0,0,0,3,234,1313744400,"122.96.221.50"
140,188,0,0,0,0,0,0,0,0,0,0,0,0,0,"81.47872340425532",0,0,0,0,0,0,0,0,0,0,0,0,1,188,1313740800,"123.118.99.115"
141,277,0,0,0,0,0,0,0,0,0,0,0,0,0,"1073.5884476534295",0,0,0,0,0,0,0,0,0,0,0,0,1,277,1313740800,"123.122.211.30"
142,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,"1081.7729729729729",0,0,0,0,0,0,0,0,0,0,0,0,1,1295,1313740800,"123.124.139.240"
143,365,0,0,0,0,0,0,0,0,0,0,0,0,0,"1855.3753424657534",0,0,0,0,0,0,0,0,"0.8356164383561644",0,0,0,1,365,1313492400,"123.126.51.33"
144,161,0,0,0,0,0,0,0,0,0,0,0,0,0,"83.15527950310559",0,0,0,0,0,0,0,0,0,0,0,0,3,161,1313744400,"123.15.134.226"
145,146,0,0,0,0,0,0,0,0,0,0,0,0,0,"1064.2465753424658",0,0,0,0,0,0,0,0,0,0,0,0,1,146,1313740800,"123.15.52.226"
146,377,0,0,0,0,0,0,0,0,0,0,0,0,0,"1076.2864721485412",0,0,0,0,0,0,0,0,0,0,0,0,1,377,1313740800,"123.156.246.123"
147,205,0,0,0,0,0,0,0,0,0,0,0,0,0,"1069.9317073170732",0,0,0,0,0,0,0,0,0,0,0,0,1,205,1313740800,"123.171.103.79"
148,201,0,0,0,0,0,0,0,0,0,0,0,0,0,"1069.6517412935323",0,0,0,0,0,0,0,0,0,0,0,0,1,201,1313740800,"123.179.27.150"
149,107,0,0,0,0,0,0,0,0,0,0,0,0,0,"1038.2056074766356",0,0,0,0,0,0,0,0,0,0,0,0,1,107,1313740800,"123.232.55.67"
150,249,0,0,0,0,0,0,0,0,0,0,0,0,0,"1072.4176706827309",0,0,0,0,0,0,0,0,0,0,0,0,1,249,1313740800,"123.8.249.48"
151,219,0,0,0,0,0,0,0,0,0,0,0,0,0,"84.20091324200914",0,0,0,0,0,0,0,0,0,0,0,0,3,219,1313744400,"123.9.219.27"
152,221,0,0,0,0,0,0,0,0,0,0,0,0,0,"88.35746606334841",0,0,0,0,0,0,0,0,0,0,0,0,2,221,1313744400,"124.118.71.101"
